0,1,s_927, Taylor Swift, Welcome To New York,27-Oct-14, 3:32,Taylor Swift,Welcome To New York,27-Oct-14,3:32,1
2,2,s_929, Taylor Swift, Blank Space,27-Oct-14, 3:51,Taylor Swift,Style,27-Oct-14,3:51,0
4,3,s_929, Taylor Swift, Style,27-Oct-14, 3:51,Taylor Swift,Style,27-Oct-14,3:51,1
6,5,s_931, Taylor Swift, All You Had To Do Was Stay,28-Oct-14, 3:13,Taylor Swift,All You Had To Do Was Stay,27-Oct-14,3:13,1
8,7,s_933, Taylor Swift, I Wish You Would,27-Oct-14, 3:27,Taylor Swift,I Wish You Would,27-Oct-14,3:27,1
9,8,s_934, Taylor Swift, Bad Blood,27-Oct-14, 3:31,Taylor Swift,Bad Blood,27-Oct-14,3:31,1
10,9,s_935, Taylor Swift, Wildest Dreams,27-Oct-14, 3:40,Taylor Swift,Wildest Dreams,27-Oct-14,3:40,1
11,10,s_936, Taylor Swift, How You Get the Girl,27-Oct-14, 4:07,Taylor Swift,How You Get The Girl,27-Oct-14,4:07,1
14,11,s_937, Taylor Swift, This Love,27-Oct-14, 4:10,Taylor Swift,This Love,27-Oct-14,4:10,1
15,12,s_938, Taylor Swift, I Know Places,27-Oct-14, 3:15,Taylor Swift,I Know Places,27-Oct-14,3:15,1
16,13,s_939, Taylor Swift, Clean,27-Oct-14, 4:31,Taylor Swift,Clean,27-Oct-14,4:31,1
19,38,s_441, Taylor Swift, You're Not Sorry,11-Nov-08, 4:21,Lukas Graham,You're Not There,1-Apr-16,3:22,0
21,47,s_2531, Taylor Swift, Dear John,25-Oct-10, 6:43,Joe Walsh,Dear John,12-Jun-07,2:40,1
23,67,s_511, Taylor Swift, Our Song,24-Oct-06, 3:21,Elton John,Your Song,12-Nov-02,4:05,0
24,83,s_2713, Taylor Swift, Other Side of the Door,26-Oct-09, 3:57,Erykah Badu,Other Side Of The Game,11-Feb-97,6:33,1
25,88,s_1755, Taylor Swift, White Horse,26-Oct-09, 3:54,John Carpenter,White Pulse,15-Apr-16,4:20,0
27,92,s_441, Taylor Swift, You're Not Sorry,26-Oct-09, 4:21,Lukas Graham,You're Not There,1-Apr-16,3:22,0
28,96,s_1766, Taylor Swift, Change,26-Oct-09, 4:41,MuteMath,Changes,23-Sep-16,3:54,0
30,100,s_1755, Taylor Swift, White Horse,26-Oct-09, 4:04,John Carpenter,White Pulse,15-Apr-16,4:20,0
32,119,s_2468, Taylor Swift, Ours (Live),21-Nov-11, 4:05,Tye Tribbett & G.A.,Intro (Live),23-May-06,2:03,0
35,126,s_627, Taylor Swift, I Want You Back (Live),21-Nov-11, 1:23,Michael Jackson,I Want You Back,5-Jul-05,2:58,0
36,206,s_1563, Taylor Swift, Wonderland,17-Feb-15, 4:05,Earth Wind and Fire,Boogie Wonderland,17-Nov-98,4:47,0
38,224,s_912, Rihanna, James Joint,29-Jan-16, 1:12,Rihanna,James Joint [Explicit],29-Jan-16,1:12,1
39,225,s_913, Rihanna, Kiss It Better,29-Jan-16, 4:13,Rihanna,Kiss It Better [Explicit],29-Jan-16,4:13,1
44,231,s_919, Rihanna, Same Ol? Mistakes,29-Jan-16, 6:37,Rihanna,Same Ol' Mistakes,29-Jan-16,6:37,1
46,233,s_923, Rihanna, Love on the Brain,29-Jan-16, 3:43,Rihanna,Close To You,29-Jan-16,3:43,0
48,234,s_413, Rihanna, Higher,29-Jan-16, 2:00,Carly Rae Jepsen,Higher,26-Aug-16,3:54,0
49,234,s_922, Rihanna, Higher,29-Jan-16, 2:00,Rihanna,Higher [Explicit],29-Jan-16,2:00,1
50,235,s_923, Rihanna, Close to You,29-Jan-16, 3:57,Rihanna,Close To You,29-Jan-16,3:43,1
53,237,s_925, Rihanna, Pose,29-Jan-16, 2:24,Rihanna,Pose [Explicit],29-Jan-16,2:24,1
54,238,s_926, Rihanna, Sex with Me,29-Jan-16, 3:26,Rihanna,Sex With Me [Explicit],29-Jan-16,3:26,1
